PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9029,10,Female,Europe,action,33.54,3,HARD,15,31,39,26,Medium
9093,64,FEMALE,Other,Adventure,15.98,4,N/A,12,155,68,35,Medium
9094,55,MaLe,Other,adventure,17.88,2,Unknown,9,135,96,29,High
9095,23,Female,123,N/A,28.66,0,Medium,12,23,27,13,N/A
9096,33,Male,Europe,Sports,29.58,2,Hard,8,167,95,16,HIGH
9097,51,FEMALE,VN,N/A,34.02,4,Hard,2,61,37,13,MEDIUM
9098,31,MaLe,Asia,Action,22.59,None,Medium,12,97,27,29,low
9099,61,Male,Unknown,PUZZLE,21.13,3,Medium,2,113,3,None,unknown
9100,68,FEMALE,Europe,adventure,33.0,5,Medium,6,167,14,1045,N/A
9101,61,male,Europe,Action,1005.92,N/A,MEDIUM,9,153,47a,29,MEDIUM
9102,37,MaLe,Asia,action,7.54,1,Unknown,17,94,N/A,2,MEDIUM
9103,22,fem@le,N/A,N/A,12.74,0,easy,14,88,89,226,HIGH
9104,18a,Female,Asia,PUZZLE,18.24,3,Easy,20,mười,25,36,low
9105,39,Other,USA,Sports,32.32,5,Medium,8,180,16,28,unknown
9106,18,FEMALE,usA,PUZZLE,4.45,1,Medium,-99,N/A,mười,31,low
9107,52,N/A,Asia,Puzzle,39.86,2,Unknown,13,52,26,34,N/A
9108,mười,MaLe,Asia,N/A,21.42,5,N/A,8,34,55,35,N/A
9109,15,N/A,Asia,action,30.42,None,HARD,102,134,27,27,low
9110,13,FEMALE,Europe,Adventure,30.38,2,Medium,-99,104,41,39,Low
9111,24,MaLe,usA,adventure,2.98,4,MEDIUM,15,46,-99,27,Medium
9050,-13,FEMALE,VN,Sports,-44.1,0,MEDIUM,7,70,96,46,low
9113,mười,FEMALE,USA,Adventure,13.67,0,Easy,1,1172,94,44,Medium
9114,59,MaLe,123,PUZZLE,7.61,3,MEDIUM,14,164,95,N/A,MEDIUM
9115,20,N/A,usA,Strategy,2.88,3,easy,7,168,93,34,MEDIUM
9116,48,N/A,VN,PUZZLE,##.##,2,Unknown,1,111,90,40,HIGH
9117,18,fem@le,VN,N/A,25.59,-99,HARD,8,165,53,5,MEDIUM
9118,32,N/A,USA,action,21.13,4,HARD,7,135,51,###,unknown
9119,65,fem@le,Other,Adventure,15.8,5,MEDIUM,13,30,71,7,Medium
9120,18,FEMALE,123,action,1.26,3,Hard,1,163,47,32,N/A
9121,23,male,Asia,action,12.9,2,Hard,1003,172,95,-99,Medium
9122,32,fem@le,Asia,N/A,N/A,5,N/A,15,128,61,None,MEDIUM
9123,17,Female,123,adventure,-28.24,mười,easy,13,90,42a,26,MEDIUM
9124,16,Male,Unknown,adventure,35.99,###,Hard,19,91,-99,11,HIGH
9125,36,Other,123,Action,1011.52,2,easy,8,110,14,35,low
9126,mười,male,VN,Strategy,1009.84,###,Unknown,-99,173,91,38,MEDIUM
9127,N/A,Male,N/A,Adventure,14.58,None,N/A,14,166,41,46,High
9128,63,Male,N/A,Strategy,22.05,N/A,HARD,9,-99,21,16,High
9129,32,fem@le,usA,adventure,20.09,3,Hard,3,61,68,23,Medium
9130,51,FEMALE,Other,action,39.69,3,Medium,1,-99,85,6,MEDIUM
9131,55,Female,Europe,action,7.47,-99,Easy,8,132,41,19,High
9132,58,N/A,123,Puzzle,1038.97,0,Easy,1,1042,53,43,High
9133,1012,fem@le,Europe,Action,12.2,5,N/A,118,100,44,40,MEDIUM
9134,50,Female,Other,Adventure,7.19,3,Hard,5,163,65,42,Medium
9135,17,Male,VN,Sports,39.77,0,MEDIUM,6,20,93,17,N/A
9136,18,fem@le,USA,Adventure,37.99,1002,HARD,3,133,59,20,Low
9137,51,male,N/A,N/A,-1.1,5,Hard,13,21,17,8,Low
9138,15,FEMALE,123,action,28.63,2,Hard,15,105,63,38,HIGH
9139,49,Female,Europe,N/A,36.57,1,N/A,18,134,34,34,Medium
9140,70,Other,Other,N/A,1.77,3,Medium,16,144,31,0,MEDIUM
9141,60,Female,Asia,Sports,23.05,1,Unknown,N/A,###,None,18,Low
9041,47,fem@le,usA,Sports,20.23,4,N/A,13,39,98,14,Medium
9143,29,N/A,Other,Strategy,37.98,2,Unknown,18,61,39,35,unknown
9144,32,Other,Europe,adventure,29.79,N/A,easy,10,150,-48,48,Medium
9145,48,fem@le,Unknown,action,34.96,-99,HARD,11,95,172,0,MEDIUM
9146,32,N/A,Other,N/A,1012.75,1,MEDIUM,5,44,16,3,HIGH
9147,64,Other,VN,Action,30.86,-99,easy,4,###,87,11,Low
9148,53,male,usA,Adventure,34.73,2,HARD,1,171,8,33,MEDIUM
9149,13,FEMALE,N/A,Strategy,26.69,1,N/A,9,27,119,33,N/A
9150,55,Male,123,Sports,36.49,1,N/A,10,127,27,47,HIGH
9151,60,N/A,Asia,Strategy,15.07,N/A,MEDIUM,3,N/A,43,36,N/A
9152,15,N/A,Asia,Adventure,NaN,0,Unknown,14,79,87,50,HIGH
9153,47,MaLe,usA,Action,38.04,3,Unknown,5,None,244,36,low
9154,59,Female,Europe,Adventure,5.9,1,easy,20,-99,75,42,High
9155,63,Female,N/A,N/A,24.61,2,Easy,3,128,52,33,low
9156,30,Female,N/A,Action,30.1,1,Hard,16,45,58,33,low
9157,58,male,USA,action,11.5,5,N/A,1020,42,23,10,MEDIUM
9158,31,MaLe,Unknown,Puzzle,6.46,1,MEDIUM,15,140,88,49,Medium
9159,13,Male,Other,Puzzle,30.58,-99,easy,19a,100,27,41,Low
9160,12,Other,N/A,Puzzle,26.06,4,Medium,17,169,83,###,low
9161,11,Female,Other,Action,37.82,5,HARD,18,168,73,2,High
9162,11,FEMALE,VN,Adventure,25.46,3,Unknown,5,None,73,25,low
9163,20,fem@le,Asia,PUZZLE,0.55,0,Easy,16,23,###,2,High
9164,N/A,FEMALE,Asia,Puzzle,30.96,0,Hard,12,None,62,mười,Low
9165,25,N/A,123,PUZZLE,0.66,0a,HARD,8,25,65,-46,Medium
9108,mười,MaLe,Asia,N/A,21.42,5,N/A,8,34,55,35,N/A
9167,29,N/A,123,N/A,1033.82,4,N/A,10,63,84,4,High
9154,59,Female,Europe,Adventure,5.9,1,easy,20,-99,75,42,High
9169,33,Female,Other,adventure,36.27,1,N/A,9,34,81,29,N/A
9170,44,Other,VN,Sports,29.92,1,Unknown,5,58,49,20,Low
9171,62,Female,Europe,Puzzle,-36.86,3,N/A,16,132,-99,226,MEDIUM
9172,21,FEMALE,Europe,Adventure,##.##,4,HARD,6,mười,mười,10,MEDIUM
9173,1017,N/A,USA,Adventure,2.91,5,Unknown,19,73,99,17,Low
9174,20,MaLe,usA,adventure,##.##,1,N/A,10,33,29,31,unknown
9175,29,Male,Other,adventure,14.81,2,Medium,12,73,75,239,HIGH
9176,19,Female,N/A,Sports,25.61,4,Medium,19,67,79,50,unknown
9177,54,MaLe,USA,Action,1.53,1,MEDIUM,213,64,94,39,Low
9178,68,Female,Asia,Puzzle,29.34,5,Unknown,-99,156,4,30,low
9179,62,MaLe,N/A,Strategy,12.85,1,HARD,14,1077,78,-36,N/A
9071,62,N/A,VN,Puzzle,-1.1,2,easy,19,130,59,18,Low
9181,210,FEMALE,USA,PUZZLE,9.22,0,MEDIUM,10,119,48,6,High
9182,38,FEMALE,Other,Adventure,30.24,None,Unknown,4,131,6,47,low
9183,59,N/A,USA,Sports,N/A,1,Medium,17,59,1065,6,Low
9184,23,Other,USA,PUZZLE,11.05,4,Medium,-39,78,28,4,low
9185,40,N/A,N/A,action,##.##,5,easy,20,131,78,19,unknown
9186,57,male,VN,PUZZLE,3.66,5,Easy,6,139,32,9,Medium
9187,233,FEMALE,usA,PUZZLE,24.18,1001,Easy,-99,152,13,-99,unknown
9188,63,Other,Unknown,Sports,18.29,5,HARD,8,69,73,35,low
9189,57,FEMALE,VN,N/A,34.86,3,easy,3,134,1061,6,low
9190,1051,MaLe,VN,N/A,10.23,4,Medium,16,98,53,42,Medium
9191,61,Female,usA,action,37.32,3,Hard,6,60,32,43,unknown
9192,25,fem@le,VN,Strategy,36.56,-46,Easy,5,161,70,21,MEDIUM
9193,39,male,Europe,adventure,31.08,5,Medium,3,128,94,27,unknown
9194,19,male,Other,Adventure,12.73,0,Easy,17,93,295,21,unknown
9195,28,Male,Asia,PUZZLE,5.28,-99,Medium,13,112,mười,mười,low
9196,12,male,usA,Action,11.47,4,N/A,14,###,26,###,MEDIUM
9197,24,Other,N/A,Action,0.94,2,N/A,13,139,99,24,Medium
9198,67,Other,123,Strategy,17.58,5,Medium,6,118,18,26,unknown
9199,25,FEMALE,123,Action,23.27,5,HARD,6,41,27,9,HIGH
